Sentence,Sentiment,Cleaned_Sentence,word_count,char_count,label_encoded
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,m real which is part of finnish paper maker metsaliitto group is due to release its second quarter report at around eet on august,24,129,1
Capital base and capital adequacy measurement is based on approaches under Basel II .,neutral,capital base and capital adequacy measurement is based on approaches under basel ii,13,83,1
"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",neutral,the dividend will be paid on april to each of the shareholders who on the record date of april have been entered in the list of shareholders kept by the finnish central securities depository ltd,35,194,1
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",neutral,deliveries of nokia nokia and nokia are expected to start in the second quarter of,15,82,1
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative,tsla you have to love these types of articles ss interest rose on on day before we hit our lows,20,95,0
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive,lining stone sales were also good in the early autumn and order books are strong to the end of the year,21,103,2
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",positive,should you buy jumbo yielders british american tobacco plc centrica plc john wood group plc,15,91,2
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,neutral,short term licenses for the games cost as little as while purchasing a game outright can cost as much as or,21,107,1
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",positive,our extensive co operation will also bolster sysopen digia s position in the domestic operator market kallioranta adds,18,118,2
"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",positive,according to the ceo of nordea bank estonia vahur kraft nordea finland and stockmann have been cooperating for more than ten years,22,130,2
The volumes are expected to increase during the next few years .,positive,the volumes are expected to increase during the next few years,11,62,2
"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",positive,maybe closing all those aapl calls i had this morning was a bad idea money left on the table,19,92,2
Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,neutral,incap estimates it will generate a revenue of mln euro mln from its indian operations for,16,89,1
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral,additionally the company will use the solutions to automate the preparation of financial statements according to ifrs standard,18,126,1
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral,cash flow from operating activities before investments was eur million eur million,12,82,1
`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,neutral,lemminkainen talo oy s lahti office is a significant logistics and business premises constructor,14,96,1
$NUGT longer term bullish,positive,nugt longer term bullish,4,24,2
"shock phase ' , consumers have once again started to plan and implement building projects .",neutral,shock phase consumers have once again started to plan and implement building projects,13,85,1
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral,founded in fiskars has over years of product quality excellence and is finland s oldest company,16,95,1
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",neutral,scanfil a systems supplier and contract manufacturer to the communications sector will start personnel negotiations in oulu in finland to lay off staff temporarily,24,163,1
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",positive,excluding non recurring items pre tax profit surged to eur m,11,60,2
"Also , a six-year historic analysis is provided for these markets .",neutral,also a six year historic analysis is provided for these markets,11,63,1
This amount will not be included in the pensionable salary .,neutral,this amount will not be included in the pensionable salary,10,58,1
$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,positive,aapl aug calls c,4,16,2
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,in q of the company s operating loss totalled eur mn compared to a profit of eur mn in q of,21,91,0
Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .,neutral,finnish rautaruukki s engineering division ruukki engineering will re organise its operations in the mo i rana plant in norway,20,126,1
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",positive,to ensure low operational cost for radio networks the bts modules can be configured software upgraded and diagnosed remotely,19,124,2
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",neutral,in q of the company s result before taxes from continuing operations excluding non recurring items totalled eur mn compared to eur mn in the corresponding period in,28,164,1
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,positive,ceo of the company tarmo noop said the growth in the sale of premium beers was the biggest,18,90,2
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,neutral,finnish fibers and plastics producer suominen corporation omx helsinki suy v reported on wednesday october an operating loss of eur m on net sales of eur m for the third quarter of,32,180,1
Deliveries have started and the network will be ready for a launch soon .,positive,deliveries have started and the network will be ready for a launch soon,13,71,2
"ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",neutral,alexandria va nov erkki aho elimaki finland has developed a method and apparatus in conjunction with a shoe press,19,113,1
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",positive,sales improved to sek mn compared with sek mn,9,45,2
Net sales fell by 5 % from the previous accounting period .,negative,net sales fell by from the previous accounting period,9,53,0
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",neutral,last year upm cut production closed mills in finland and slashed jobs,12,69,1
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive,japan s asahi to submit bid next week for sabmiller s grolsch and peroni yomiuri,15,80,2
What would you like to see changed on Nokia 's next attempt ?,neutral,what would you like to see changed on nokia s next attempt,12,58,1
The company will release its 2010 results on 11 February 2011 .,neutral,the company will release its results on february,8,48,1
"The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art .",neutral,the orange handled scissors from fiskars are part of the permanent design collection of the museum of modern art in new york as well as the philadelphia museum of art,30,166,1
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,currently yit builds a housing estate zapadnye vorota square metres in the city and a house square metres which will be completed at the end of,26,143,1
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",positive,fiskars the world s scissors brand tm recently won learning magazine s teachers choice award for the classroom,18,110,2
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,neutral,chief executive officer olli pekka kallasvuo s changes on tuesday mark the third time in nine months the company has reshuffled executives and operations as nokia loses ground to apple s iphone and rim s blackberry,36,214,1
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,negative,nokia s u s shares were percent lower at by gmt,11,47,0
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",negative,operating profit for the month period decreased from eur m while net sales increased from eur m as compared to,20,110,0
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,a total of stock options were issued in the stock option scheme,12,63,1
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",neutral,at this stage a maximum of tulikivi series a shares will be acquired representing about per cent of the company s shares outstanding,23,132,1
This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,positive,this acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services,21,136,2
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,positive,barclays bonds rise as lender cuts dividends to shore up capital,11,64,2
$INVE : SEE YA ABOVE $8,positive,inve see ya above,4,17,2
The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,neutral,the group s revenue in amounted to eur million and the company currently employs approximately people,16,101,1
"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",positive,estonian telecoms company elisa s customer numbers cross tallinn oct bns the estonian telecommunications company elisa won approximately new clients in the nine months of this year bringing the number to by the end of september the company said,39,244,2
Construction is expected to be completed in the summer of 2011 .,neutral,construction is expected to be completed in the summer of,10,57,1
Poyry is a global expert in consulting and engineering .,neutral,poyry is a global expert in consulting and engineering,9,54,1
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",neutral,vaisala oyj stock exchange release klo the annual general meeting of vaisala oyj decided on march to approve the company s annual accounts for,24,142,1
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sales increased to eur m from eur m and pretax profit rose by to eur m eur usd,19,82,2
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,neutral,operating profit in the fourth quarter went down to eur m from eur m for the corresponding period of as it included costs of growth projects,26,140,1
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,neutral,comptel corporation sami ervio president and ceo distribution nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers to deliver services flexibly and charge them effectively,29,213,1
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,neutral,our vaalipalvelu service was especially developed for use by communities and organizations,12,90,1
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,neutral,according to an posted by the world intellectual property organization the present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels,38,260,1
"The orders consist in total of over 1,600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2,000 to 13,300 TEUs .",neutral,the orders consist in total of over panels of lift away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from to teus,28,166,1
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production,23,159,1
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,positive,imperial tobacco adds quarterly dividends after profit rose,8,59,2
$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive,nflx long streaming services rapidly outpacing traditional cable,8,64,2
"The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .",neutral,the buyer is real estate owner propertos oy but the companies have agreed not to disclose financial details of the deal,21,119,1
"However , the broker gave an `` outperform '' recommendation on the stock .",positive,however the broker gave an outperform recommendation on the stock,10,65,2
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,positive,airbus has firm orders for the a and nonbinding commitments,10,59,2
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",neutral,den bosch based tomtom is europe s largest maker of automotive navigation devices while cayman islands based garmin is larger in the u s and overall,26,148,1
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,positive,double bottom with handle buy point of wmt,8,42,2
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,aspo plc stock exchange release february at a m esl shipping ltd part of aspo group has signed a new long term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea,37,208,2
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,negative,update lloyds to cut jobs as part of year restructuring plan,11,60,0
"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",positive,after a long unprofitable period the food division posted a profitable result which speaks of a healthier cost structure and a new approach in business operations rihko said,28,173,2
"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry .",neutral,aspocomp group headquartered in helsinki finland develops interconnection solutions for the electronics industry,13,112,1
"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",neutral,the economic development and trade ministry and industry and energy ministry along with the kostroma regional administration and the russian lumberman and timber exporters union has been carrying out work to acquire investment for the construction of a pulp and paper mill in neya since,45,286,1
$RIMM $spx $nya $compq $djia all going down,negative,rimm spx nya compq djia all going down,8,38,0
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",positive,september finnish stationery and gift retailer tiimari hel tii v said today its net sales rose by year on year to eur m in august driven by growth in finland while demand in the baltics remained weak,37,199,2
M2 Communications disclaims all liability for information provided within information on on the world wide web .,neutral,m communications disclaims all liability for information provided within information on on the world wide web,16,109,1
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",neutral,in a note to clients published the dutch broker described the company s third quarter results as soft although it also noted that elcoteq retained its guidance dealers said,29,172,1
"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral,the firm s uk head office is in rugby road lutterworth,11,54,1
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",positive,the omx nordic omxn index comprising the most traded nordic stocks on the nasdaq omx exchange closed up at points on wednesday,22,126,2
"In addition to software development , the new design unit will provide for mechanical engineering and electronics design .",neutral,in addition to software development the new design unit will provide for mechanical engineering and electronics design,17,118,1
CRH's concrete bid for Holcim Lafarge assets,positive,crh s concrete bid for holcim lafarge assets,8,44,2
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",neutral,net sales for the financial year are expected to amount to about eur m and the operating result ebit is expected to be a loss as announced before,28,145,1
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral,seller is the finnish elcoteq group the largest european electronics manufacturing services company,13,99,1
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,neutral,sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of,23,117,1
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",neutral,salcomp oyj the finnish maker of mobile phone chargers monday posted a eur million loss in the second quarter compared with a million profit in the same period the previous year,31,177,1
Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,positive,finnish cargotec has been awarded a significant order for a total of hiab loader cranes by bae systems in the us,21,112,2
The company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,the company expects its net sales for the whole to remain below the level,14,73,0
The employee negotiations are to address measures needed to adjust the operations to the present production situation .,neutral,the employee negotiations are to address measures needed to adjust the operations to the present production situation,17,117,1
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",negative,dji overbought aapl axp ba cvx ibm intc vz,9,42,0
"Steve Jackson , eBusiness Analyst at Satama and former CEO of Aboavista said : `` Google broke the mold when they gave away Google Analytics for free .",neutral,steve jackson ebusiness analyst at satama and former ceo of aboavista said google broke the mold when they gave away google analytics for free,24,142,1
"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''",positive,we re delighted with the move says morna cowie co owner above it s double the size of our current shop and has a lovely feel to it,28,130,2
"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .",neutral,via the plant the belgian company will feed mw of electricity into the distribution grid and will be able to deliver up to mw of heat,26,133,1
"The money will be spread mainly over 2011 and 2012 , the company said .",neutral,the money will be spread mainly over and the company said,11,57,1
"At this growth rate , paying off the national debt will be extremely painful .",neutral,at this growth rate paying off the national debt will be extremely painful,13,74,1
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,the agreement strengthens our long term partnership with nokia siemens networks,11,79,2
"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction .",neutral,these sections will be put into place to form the load bearing steel structure of the bridge says sami eronen senior vice president infrastructure and northern europe ruukki construction,29,186,1
"The production capacity can be tripled without any major additional investments , the company said .",positive,the production capacity can be tripled without any major additional investments the company said,14,96,2
SABMiller buys Meantime to quench thirst for craft beer,positive,sabmiller buys meantime to quench thirst for craft beer,9,55,2
Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .,positive,finnish outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the ozk kardzhali zinc smelter in bulgaria,28,162,2
"The customer is then forwarded to the site , and unknown to him logged in with the first number .",neutral,the customer is then forwarded to the site and unknown to him logged in with the first number,18,93,1
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,capman an asset manager has eur bn worth of assets under management in the nordic region,16,88,1
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,neutral,l t s net profit for the whole dropped to eur million from eur million for,16,74,1
Vacon recently announced plans to build its North American headquarters at 5 Business Park in Chambersburg .,neutral,vacon recently announced plans to build its north american headquarters at business park in chambersburg,15,104,1
"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .",neutral,incap headquartered in oulu finland is a electronics contract manufacturer with some employees in finland estonia and india,18,123,1
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative,pretax loss totalled eur mn compared to a loss of eur mn in the corresponding period in,17,87,0
"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",positive,the vaisala group is a successful international technology company that develops manufactures and markets electronic measurement systems and products,19,149,2
Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,neutral,earnings per share eps in the first quarter amounted to a loss of eur,14,69,1
"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday .",neutral,san francisco marketwatch nokia corp the world s largest cell phone maker is using the consumer electronics show in las vegas to introduce a high end thin folding phone according to a media report monday,35,203,1
"production facilities 6 July 2010 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",neutral,production facilities july finnish investment group neomarkka oyj hel nembv said today that it will buy the former production facilities of kuitu finland ltd as part of negotiations on the option to invest in specialty cellulose fiber business,38,243,1
Valeant CEO Pledges to Heed Critics After `Painful' Experience,negative,valeant ceo pledges to heed critics after painful experience,9,60,0
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive,vacon s cash flow from operations grew to eur mn from eur mn a year ago,16,71,2
Valeant Said to Name New CEO With Pearson Still Hospitalized,neutral,valeant said to name new ceo with pearson still hospitalized,10,60,1
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",negative,seven month sales of ragutis which is controlled by the finnish brewery olvi declined by percent to million liters and the company held percent of the market,27,157,0
These companies will be able to keep their market positions .,positive,these companies will be able to keep their market positions,10,59,2
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive,after this purchase cramo will become the second largest rental services provider in the latvian market,16,103,2
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",positive,operating profit was eur mn up from eur mn,9,42,2
Pentik+ñinen emphasises that the most of the internet contents media houses provide can not be free forever .,neutral,pentik inen emphasises that the most of the internet contents media houses provide can not be free forever,18,106,1
"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",neutral,dopplr members share personal and business travel plans privately with their networks and highlight interesting places to stay eat and explore in cities around the world,26,169,1
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,positive,the company now estimates its net sales in to increase considerably from and its operating result to be clearly positive,20,120,2
Currency conversions are based on exchange rates at the time of the deal .,neutral,currency conversions are based on exchange rates at the time of the deal,13,72,1
$INTC finally some nice downside move... looking for the 31 handle to break,negative,intc finally some nice downside move looking for the handle to break,12,68,0
"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said .",positive,efore s presence here also opens up new and interesting development opportunities for our students the dean of the faculty of electronics communications and automation at tkk said,28,179,2
@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,negative,nasdboy i think the dnf crew can get this nflx short into the next days heading into earnings,18,93,0
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .",neutral,in the building and home improvement trade sales decreased by totalling eur mn,13,78,1
The issuer is solely responsible for the content of this announcement .,neutral,the issuer is solely responsible for the content of this announcement,11,69,1
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,positive,london stock exchange seals billion merger with germany s deutsche b rse,12,72,2
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,diluted earnings per share eps rose to eur versus eur,10,53,2
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .,neutral,finnish media company talentum oyj s net profit decreased to mln euro mln for the first quarter of from mln euro mln for the same period of,27,139,1
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive,london morning briefing hsbc and standard chartered shares rise,9,63,2
@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,positive,dojiknows th sp and the potential of qnx bes and bbm cross platform will bring good news in time bbry,20,101,2
`` The Government has had a very professional approach in assessing the offer .,positive,the government has had a very professional approach in assessing the offer,12,74,2
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,positive,travis perkins hikes dividend as profit and revenue rise,9,56,2
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,neutral,stichting pensioenfonds abp shares representing of the share capital and voting rights,12,86,1
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,in the fourth quarter of orion s net profit went up by year on year to eur m,18,76,2
"BAWAG - Is to issue a benchmark , covered deal .",neutral,bawag is to issue a benchmark covered deal,8,42,1
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,positive,outotec s net profit for the second quarter of jumped to mln euro mln from mln euro mln a year ago,21,98,2
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",neutral,fortum expects its annual capital expenditure in the next four to five years to be within a range of eur billion as earlier announced,24,133,1
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative,since the association s data do not cover sales figures from about small local breweries and sales of imported beer products the actual market shares of its members are smaller than those given in the report,36,207,0
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .,neutral,the per share subscription price of the shares subscribed with the option rights was eur,15,88,1
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,altia s operating profit jumped to eur million from eur million,11,63,2
Nokia Siemens Networks has struggled to make a profit in the past two years .,neutral,nokia siemens networks has struggled to make a profit in the past two years,14,75,1
"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",neutral,the vuokatti unit will be developed to focus especially on the manufacture of prototypes the ramp up of new products and the demanding testing and after sales services,28,167,1
"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix .",neutral,an of the invention released by the patent office said a non coherent search matrix is formed of said correlation function matrix,22,129,1
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,neutral,the group reiterated its forecast that handset manufacturers will sell around mln units this year globally,16,106,1
The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .,neutral,the earnings in the comparative period included a capital gain of eur mn from the sale of omx shares,19,100,1
$fb small long 109.25 via calls,positive,fb small long via calls,5,23,2
"Again , the most significant sales increase of 18.6 % was in Russia .",positive,again the most significant sales increase of was in russia,10,58,2
Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .,neutral,finnish component supplier componenta corporation omx helsinki cth v said on monday june that it is changing its pricing cycle due to the increase of raw material prices,28,169,1
"Financial , strategic and operational factors are considered .",neutral,financial strategic and operational factors are considered,7,58,1
G4S slides on balance sheet worries,negative,g s slides on balance sheet worries,7,35,0
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive,july finnish steel maker rautaruukki oyj hel rtrks or ruukki said today it turned to a net profit of eur m in the second quarter of from a net loss of eur m in the corresponding period last year,39,194,2
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,neutral,as an overall effect of the above mentioned measures glaston will recognize non recurring expenses of eur million in the fourth quarter of,23,138,1
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive,operating profit rose to eur mn from eur mn in the corresponding period in,14,74,2
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,neutral,the company reported net sales of mln euro mln and an operating margin of pct in,16,80,1
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,positive,merged lse and deutsche b rse would be led by germany s kengeter,13,64,2
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",positive,the total delivery volume of paper businesses in was tonnes up from tonnes in,14,77,2
"With the acquisition , the company will expand its offering to North , Central and South America , it said .",positive,with the acquisition the company will expand its offering to north central and south america it said,17,100,2
"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .",neutral,together with latvia cramo will operate rental outlets in the baltic states,12,75,1
"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors .",neutral,the value of the contract is about eur m poyry headquartered in vantaa finland provides consulting and engineering services to the energy forestry and infrastructure environment sectors,27,185,1
"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone .",neutral,subscribers can browse free numbers with their handset and select the numbers packages and services they prefer when activating the phone,21,137,1
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral,connectivity services include outsourced scan and capture which transfers paper invoices into electronic format and basware business transactions service enables the customer to receive and send invoices in an electronic format,31,227,1
